Timestamp,Player,Punches,Kicks,Movement_X,Movement_Y
1753515376.0953982,Player2,51,54,4,1
1753515376.2207198,Player1,43,37,6,6
1753515376.2207198,Player2,51,55,6,6
1753515376.3463087,Player1,43,37,5,-9
1753515376.3463087,Player2,52,55,5,-9
1753515376.4725246,Player1,43,37,6,9
1753515376.4725246,Player2,52,56,6,9
1753515376.5977602,Player1,43,37,6,6
1753515376.5977602,Player2,52,57,6,6
1753515376.7224174,Player1,43,37,6,8
1753515376.7224174,Player2,52,58,6,8
1753515376.8486364,Player1,43,37,5,4
1753515376.8486364,Player2,52,59,5,4
1753515376.975936,Player1,43,37,-1,10
1753515376.975936,Player2,52,60,-1,10
1753515377.1041725,Player1,43,37,12,-2
1753515377.1041725,Player2,53,60,12,-2
1753515377.2137399,Player1,43,38,-3,4
1753515377.2137399,Player2,53,60,-3,4
1753515377.3546205,Player1,43,38,-1,4
1753515377.3546205,Player2,53,60,-1,4
1753515377.4806037,Player1,44,38,0,-1
1753515377.4806037,Player2,53,60,0,-1
1753515377.606827,Player1,44,38,0,-2
1753515377.606827,Player2,53,60,0,-2
1753515377.733482,Player1,44,39,1,-1
1753515377.733482,Player2,53,60,1,-1
1753515377.8595765,Player1,45,39,1,-1
1753515377.8595765,Player2,53,60,1,-1
1753515377.9860792,Player1,45,40,0,1
1753515377.9860792,Player2,53,60,0,1
1753515378.1133394,Player1,46,40,-9,0
1753515378.1133394,Player2,53,60,-9,0
1753515378.2397635,Player1,46,40,1,0
1753515378.2397635,Player2,53,60,1,0
1753515378.3671334,Player1,46,40,13,0
1753515378.3671334,Player2,53,60,13,0
1753515378.492848,Player1,46,40,3,-1
1753515378.492848,Player2,53,60,3,-1
1753515378.6042712,Player1,46,40,5,-4
1753515378.6042712,Player2,54,60,5,-4
1753515378.729342,Player1,46,40,6,-4
1753515378.729342,Player2,55,60,6,-4
1753515378.840321,Player1,46,40,4,-3
1753515378.840321,Player2,55,60,4,-3
1753515378.967783,Player1,46,40,-21,-3
1753515378.967783,Player2,56,60,-21,-3
1753515379.0957918,Player1,46,41,-1,-3
1753515379.0957918,Player2,56,60,-1,-3
1753515379.2218673,Player1,46,41,1,-2
1753515379.2218673,Player2,56,60,1,-2
1753515379.3476877,Player1,46,41,1,-2
1753515379.3476877,Player2,56,60,1,-2
1753515379.4741066,Player1,46,41,1,-1
1753515379.4741066,Player2,56,60,1,-1
1753515379.5838459,Player1,46,41,2,0
1753515379.5838459,Player2,56,60,2,0
1753515379.694872,Player1,46,41,1,0
1753515379.694872,Player2,56,60,1,0
1753515379.8052683,Player1,46,41,0,2
1753515379.8052683,Player2,56,60,0,2
1753515379.931495,Player1,46,42,0,1
1753515379.931495,Player2,56,60,0,1
1753515380.0586052,Player1,46,43,-3,2
1753515380.0586052,Player2,56,60,-3,2
1753515380.1845584,Player1,46,43,-4,3
1753515380.1845584,Player2,56,60,-4,3
1753515380.2954957,Player1,46,43,-1,4
1753515380.2954957,Player2,56,60,-1,4
1753515380.406135,Player1,47,43,-3,5
1753515380.406135,Player2,56,61,-3,5
1753515380.531871,Player1,47,43,-3,7
1753515380.531871,Player2,56,62,-3,7
1753515380.6565979,Player1,47,43,-5,6
1753515380.6565979,Player2,56,63,-5,6
1753515380.782208,Player1,47,43,16,6
1753515380.782208,Player2,56,64,16,6
1753515380.9109952,Player1,47,44,-25,4
1753515380.9109952,Player2,56,65,-25,4
1753515381.0364919,Player1,48,44,-2,5
1753515381.0364919,Player2,56,66,-2,5
1753515381.1634734,Player1,48,44,0,3
1753515381.1634734,Player2,56,66,0,3
1753515381.2901156,Player1,48,45,3,-1
1753515381.2901156,Player2,56,66,3,-1
1753515381.4167516,Player1,49,45,16,-3
1753515381.4167516,Player2,57,66,16,-3
1753515381.5446653,Player1,49,45,8,0
1753515381.5446653,Player2,57,66,8,0
1753515381.670495,Player1,49,46,5,3
1753515381.670495,Player2,57,67,5,3
1753515381.7969646,Player1,49,46,7,5
1753515381.7969646,Player2,57,68,7,5
1753515381.908043,Player1,49,47,-3,5
1753515381.908043,Player2,57,69,-3,5
1753515382.0342484,Player1,50,47,6,1
